,﻿keep in touch with,none
212,decide upon,none
213,put off,n. A shift for evasion or delay; an evasion; an excuse.
214,turn up,n the lap consisting of a turned-back hem encircling the end of the sleeve or leg
215,enquiry,"n an instance of questioning
n a search for knowledge
n a systematic investigation of a matter of public interest"
216,fill in,n someone who takes the place of another (as when things get dangerous or difficult)
217,handful,"n. a small number or amount
n. the quantity that can be held in the hand"
218,split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
219,annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
220,receptionist,n. a secretary whose main duty is to answer the telephone and receive visitors
221,detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
222,reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
223,newsflash,n a short news announcement concerning some on-going news story
224,speed up,n the act of accelerating; increasing the speed
225,timetable,"n. a schedule listing events and the times at which they will take place
n. a schedule of times of arrivals and departures"
226,departure,n. the act of departing
227,ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
228,port,"n. a place (seaport or airport) where people and merchandise can enter or leave a country
n. sweet dark-red dessert wine originally from Portugal
n. an opening (in a wall or ship or armored vehicle) for firing through
v. put or turn on the left side, of a ship"
229,punctual,a. acting or arriving or performed exactly at the time appointed
230,arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
231,cyclist,n. a person who rides a bicycle
232,pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
233,minibus,n. a light bus (4 to 10 passengers)
234,aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
235,lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
236,crash,"n. a serious accident (usually involving one or more vehicles)
n. a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
n. the act of colliding with something
n. (computer science) an event that causes a computer system to become inoperative"
237,fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
238,drunk,n. someone who is intoxicated
239,violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
240,beer,n. a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
241,turning,"n. act of changing in practice or custom
n. a shaving created when something is produced by turning it on a lathe
n. a movement in a new direction
n. the end-product created by shaping something on a lathe"
242,load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
243,brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
244,tyre,"n a port in southern Lebanon on the Mediterranean Sea; formerly a major Phoenician seaport famous for silks
n hoop that covers a wheel"
245,crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
