,8.02,12.07,Unnamed: 2,Advertise your product or brand here
372,1218.93,1222.93,Buffy,"missing people in Sunset Ridge,"
373,1223.93,1229.19,Buffy,and a zesty new slayer to feed.
374,1223.93,1229.19,Buffy,"Next time I kill Angel, I'll video it."
375,1231.44,1234.61,Willow,"And over here we have the cafeteria,"
376,1231.44,1234.61,Willow,where we were mauled by snakes.
377,1235.19,1237.7,Xander,And this is the spot where
378,1235.19,1237.7,Xander,Angel tried to kill Willow.
379,1237.7,1242.45,Willow,And over there is where Spike and his gang
380,1237.7,1242.45,Willow,nearly massacred us on parentteacher night.
381,1243.33,1246.62,Willow,And up those stairs
382,1243.33,1246.62,Willow,I was sucked into a muddy grave.
383,1247.08,1251.33,Xander,They say kids don't learn anything in school
384,1247.08,1251.33,Xander,"nowadays, but I've learned to be afraid."
385,1252.71,1256.42,Faith,You guys are a hoot and a half. If I'd had
386,1252.71,1256.42,Faith,"friends like you in high school, I'd..."
387,1257.09,1260.84,Faith,"probably still have dropped out, but"
388,1257.09,1260.84,Faith,"I might've been sad about it, you know?"
389,1261.47,1263.01,Faith,So what's up with B?
390,1263.35,1267.98,Faith,"I mean, she seems wound kinda tight,"
391,1263.35,1267.98,Faith,"needs to find the fun a little, like you two."
392,1268.35,1269.14,Willow,Well...
393,1269.14,1270.27,Faith,Oh. Water.
394,1270.85,1273.31,Xander,And then the alligator story.
395,1273.36,1274.98,Xander,"She's got something, doesn't she?"
396,1275.86,1277.49,Cordelia,What is it with you and slayers?
397,1277.74,1280.7,Cordelia,Maybe I should dress up as one
398,1277.74,1280.7,Cordelia,and put a stake to your throat.
399,1280.86,1283.41,Xander,"Oh, please, God, don't let that be sarcasm."
400,1283.99,1285.58,Xander,I'm gonna tell him straight.
401,1285.87,1287.17,Scott,"Oh, excuse me."
402,1287.17,1290.25,Faith,Sorry. I know you from somewhere.
403,1290.87,1292.53,Scott,"The Bronze. Friend of Buffy's, right?"
404,1292.53,1293.25,Faith,Yeah. I'm Faith.
405,1293.38,1294.83,Scott,I'm Scott. Nice to meet you.
406,1294.83,1295.71,Faith,Nice to meet you.
407,1296.5,1300.84,Buffy,"Well, I'm two for two with makeup tests."
408,1296.5,1300.84,Buffy,"Proud, yes, but also humble, and..."
409,1301.51,1303.35,Buffy,We're looking at what?
410,1304.64,1307.72,Cordelia,Does anyone believe
411,1304.64,1307.72,Cordelia,that is her actual hair colour?
412,1308.39,1313.23,Willow,I haven't seen him laugh like that.
413,1308.39,1313.23,Willow,"Hey, maybe Faith and Scott could hit it off."
414,1314.02,1317.69,Willow,"I mean, if you're done with him..."
415,1314.02,1317.69,Willow,Not that you used him...
416,1320.28,1323.59,Willow,"Well, I... hadn't definitely 100 per cent"
417,1323.59,1325.28,Buffy,said no for all time.
418,1325.91,1329.41,Buffy,"It's just, you know, you don't"
419,1325.91,1329.41,Buffy,enter into these things lightly.
420,1330.29,1333.12,Buffy,"There's repercussions to consider, and..."
421,1333.42,1335.42,Buffy,Why am I seeing a look?
422,1335.92,1339.71,Willow,"You really do need to find the fun, B. Buffy."
423,1344.68,1345.27,Buffy,Hey.
424,1345.27,1346.89,Scott,"Hey, Buffy."
425,1347.18,1349.31,Scott,Faith has been telling me tall tales.
426,1349.68,1352.85,Buffy,She's funny. And she's leaving.
427,1349.68,1352.85,Buffy,We have to go.
428,1355.31,1357.69,Faith,He's a cutie. Is he seeing anybody?
429,1359.32,1361.99,Kakistos,"Mr Trick, talk to me."
430,1363.07,1368.74,Trick,"This town... this very street,"
431,1363.07,1368.74,Trick,wired for fibre optics.
432,1369.95,1375.88,Trick,"See, we jack in a T3, 2500 megs per,"
433,1369.95,1375.88,Trick,we have the whole world at our fingertips.
434,1376.84,1381.92,Trick,"All I'm sayin' is we stay local, where the"
435,1376.84,1381.92,Trick,"humans are jumpin' and the cotton is high,"
436,1382.47,1384.72,Trick,but we live global.
437,1384.97,1388.05,Kakistos,You get the hankerin' for
438,1384.97,1388.05,Kakistos,"the blood of a 15yearold Filipina,"
439,1388.72,1391.98,Kakistos,I'm on the net and she's here
440,1388.72,1391.98,Kakistos,"the next day, express air."
441,1392.48,1395.15,Kakistos,I want the blood of the Slayer.
442,1398.11,1400.03,Trick,"On that note, there's good news and bad."
443,1401.23,1405.49,Trick,Rumour has it that this town already
444,1401.23,1405.49,Trick,"has a slayer, which makes two."
