,1,abandoned,negative,en,Unnamed: 4,Unnamed: 5,Unnamed: 6
496,498,moan,negative,en,,,
497,499,mocked,negative,en,,,
498,500,moldy,negative,en,,,
499,501,molested,negative,en,,,
500,502,monstrous,negative,en,,,
501,503,moody,negative,en,,,
502,504,nagged,negative,en,,,
503,505,naive,negative,en,,,
504,506,nasty,negative,en,,,
505,507,naughty,negative,en,,,
506,508,needy,negative,en,,,
507,509,negate,negative,en,,,
508,510,negative,negative,en,,,
509,511,nervous,negative,en,,,
510,512,neurotic,negative,en,,,
511,513,never,negative,en,,,
512,514,no,negative,en,,,
513,515,nobody,negative,en,,,
514,516,nonconforming,negative,en,,,
515,517,nondescript,negative,en,,,
516,518,nonsense,negative,en,,,
517,519,not,negative,en,,,
518,520,noxious,negative,en,,,
519,521,numb,negative,en,,,
520,522,nuts,negative,en,,,
521,523,nutty,negative,en,,,
522,524,objectified,negative,en,,,
523,525,objectionable,negative,en,,,
524,526,obligated,negative,en,,,
525,527,obsessive,negative,en,,,
526,528,obstructed,negative,en,,,
527,529,odd,negative,en,,,
528,530,odious,negative,en,,,
529,531,offended,negative,en,,,
530,532,offensive,negative,en,,,
531,533,old,negative,en,,,
532,534,on display,negative,en,,,
533,535,opposed,negative,en,,,
534,536,oppressed,negative,en,,,
535,537,oppressive,negative,en,,,
536,538,out of place,negative,en,,,
537,539,out of touch,negative,en,,,
538,540,over-controlled,negative,en,,,
539,541,over-protected,negative,en,,,
540,542,overwhelmed,negative,en,,,
541,543,pain,negative,en,,,
542,544,panic,negative,en,,,
543,545,paranoid,negative,en,,,
544,546,passive,negative,en,,,
545,547,pathetic,negative,en,,,
546,548,perturb,negative,en,,,
547,549,pessimistic,negative,en,,,
548,550,petrified,negative,en,,,
549,551,petty,negative,en,,,
550,552,phony,negative,en,,,
551,553,picked on,negative,en,,,
552,554,pissed off,negative,en,,,
553,555,pissed,negative,en,,,
554,556,plain,negative,en,,,
555,557,plain,negative,en,,,
556,558,played with,negative,en,,,
557,559,poisonous,negative,en,,,
558,560,pooped,negative,en,,,
559,561,poor,negative,en,,,
560,562,poor,negative,en,,,
561,563,powerless,negative,en,,,
562,564,preached to,negative,en,,,
563,565,predjudiced,negative,en,,,
564,566,pre-judged,negative,en,,,
565,567,prejudice,negative,en,,,
566,568,preoccupied,negative,en,,,
567,569,pressured,negative,en,,,
568,570,prosecuted,negative,en,,,
569,571,provoked,negative,en,,,
570,572,psychopathic,negative,en,,,
571,573,psychotic,negative,en,,,
572,574,pulled apart,negative,en,,,
573,575,pulled back,negative,en,,,
574,576,punished,negative,en,,,
575,577,pushed away,negative,en,,,
576,578,pushed,negative,en,,,
577,579,put down,negative,en,,,
578,580,puzzled,negative,en,,,
579,581,quarrelsome,negative,en,,,
580,582,queer,negative,en,,,
581,583,questionable,negative,en,,,
582,584,questioned,negative,en,,,
583,585,quiet,negative,en,,,
584,586,quirky,negative,en,,,
585,587,quit,negative,en,,,
586,588,rage,negative,en,,,
587,589,raped,negative,en,,,
588,590,rattled,negative,en,,,
589,591,regret,negative,en,,,
590,592,reject,negative,en,,,
591,593,rejected,negative,en,,,
592,594,renege,negative,en,,,
593,595,repellant,negative,en,,,
594,596,reptilian,negative,en,,,
595,597,repugnant,negative,en,,,
