,comnam,ticker,filingYr
39,"SWITCH & DATA FACILITIES COMPANY, INC.",SDXC,2007
40,3SBIO INC.,SSRX,2007
41,"JA SOLAR HOLDINGS CO., LTD.",JASO,2007
42,DEKANIA CORP.,DEKU,2007
43,CELLCOM ISRAEL LTD.,CEL,2007
44,UNION STREET ACQUISITION CORP.,USQ-U,2007
45,"MADRIGAL PHARMACEUTICALS, INC.",SNTA,2007
46,"MOLECULAR INSIGHT PHARMACEUTICALS, INC.",MIPI,2007
47,INFORMATION SERVICES GROUP INC.,III.U,2007
48,NTR ACQUISITION CO.,NTQ.U,2007
49,XTENT INC,XTNT,2007
50,CAPITAL PRODUCT PARTNERS L.P.,CPLP,2007
51,"FLAGSTONE REINSURANCE HOLDINGS, S.A.",FSR,2007
52,GSI TECHNOLOGY INC,GSIT,2007
53,SENORX INC,SENO,2007
54,"SUPER MICRO COMPUTER, INC.",SMCI,2007
55,SANTA MONICA MEDIA CORP,MEJ.U,2007
56,"ETELECARE GLOBAL SOLUTIONS, INC.",ETEL,2007
57,"ARUBA NETWORKS, INC.",ARUN,2007
58,"CASTLEPOINT HOLDINGS, LTD.",CPHL,2007
59,ALPHA SECURITY GROUP CORP,HDS.U,2007
