,keyword,dbpedia_score
1144,rashtriya_ispat_nigam,0.4
1145,scientist,0.0
1146,tide,1.0
1147,grow_up,0.5
1148,uk,0.7368421053
1149,vatican,0.6315789474
1150,lungi,0.5
1151,monal,0.3333333333
1152,secundrabad,0.6666666667
1153,khanqah,0.6
1154,oil_gland,0.0
1155,trade_union,1.0
1156,gastric,0.0
1157,carbon_cation,0.0
1158,conquer,1.0
1159,agaria,0.6666666667
1160,nair,0.6
1161,vellum,0.75
1162,denmark,0.5294117647
1163,name_of_india,1.0
1164,buddhacharita,1.0
1165,emil,0.3333333333
1166,zola,0.2777777778
